Name,Position,Years,Height,Weight,Games,Minutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Draft_Status
Kieron Achara,Forward,2,81,255,16.6667,22.56,13.1,5.3,1.12,0.78,1.98,1.72,2.68,0
Charles Richardson Jr.,Guard,1,69,160,14.5,36.3103,7.68966,3.34483,5.72414,1.75862,0.0689655,2.31034,2.24138,0
Jeremiah Bowman,Guard,2,74,188,17.3333,32.5,12.7692,3.61538,5.01923,1.26923,0.0961538,2.63462,2.78846,0
Josh Heytvelt,Forward,3,83,260,25.3333,25.9868,13.5658,6.42105,0.539474,0.565789,1.07895,1.46053,2.52632,0
Marquise Moore,Guard,4,74,208,29.25,30.3932,10.8547,5.93162,3.10256,0.777778,0.65812,2.21368,2.13675,0
Carrington Love,Guard,4,73,171,33.5,26.7015,9.61194,2.50746,2.66418,1.52985,0.201493,1.52985,1.86567,0
Jermaine Taylor,Guard,3,76,210,29,30.046,19.908,4.24138,1.65517,1.08046,0.436782,2.49425,1.88506,1
Kenneth Faried,Forward,4,80,228,32,29.6562,15.0312,12.4688,0.851562,1.70312,1.79688,2.28125,3.04688,1
Ronald Alexander,Center,1,82,210,10.3333,17.0323,4.70968,5.06452,0.354839,0.290323,2.03226,1.19355,2.09677,0
Glenn Bryant,Forward,4,80,210,26.2,18.0382,6.8626,3.70992,0.320611,0.59542,1.28244,0.793893,1.72519,0
Steve McElvene,Center,0,83,260,0,nan,nan,nan,nan,nan,nan,nan,nan,0
Brock Motum,Forward,4,82,245,30,25.0083,12.75,4.49167,1.05833,0.441667,0.358333,1.9,1.78333,0
Kameron Woods,Forward,4,81,200,34,24.2426,5.91176,7.02206,1.08824,0.757353,0.919118,1.38235,1.96324,0
Antoine Mason,Guard,5,73,216,24.8,34.5323,18.6048,3.72581,1.54839,1.12903,0.129032,2.32258,2.53226,0
Dylan Cox,Guard,4,76,191,30.75,25.4878,8.37398,4.58537,3.88618,0.796748,0.382114,2.1626,2.18699,0
Brad Waldow,Forward,4,81,260,26.8,26.0075,13.0075,6.71642,1.05224,0.432836,0.992537,1.39552,2.35821,0
Jeremy Pargo,Guard,3,74,220,31.3333,32.766,11.5851,3.7234,5.18085,1.43617,0.170213,3.01064,2.18085,0
Lucas Woodhouse,Guard,4,75,180,25.4,29.3701,9.56693,2.65354,5.2126,0.992126,0.0708661,2.24409,1.77165,0
James Vincent,Center,4,82,260,29.25,13.1282,3.30769,3.06838,0.162393,0.264957,1.12821,0.794872,1.71795,0
E.J. Drayton,Forward,1,80,208,28,33.4643,13.8214,8.10714,1.39286,0.535714,0.571429,1.75,2.32143,0
Lamar Trice,Guard,4,71,165,20.25,14.5062,6.27161,1.5679,1.46914,0.580247,0.0246914,1.95062,1.65432,0
Keion Bell,Guard,4,76,200,22.2,27.991,15.0631,4.59459,2.31532,1.1982,0.207207,3.28829,1.79279,0
Robert Boyd,Guard,2,75,165,20.5,23.2927,7.09756,2.43902,1.87805,1.68293,0.292683,1.7561,2.34146,0
Andre Washington,Center,4,85,235,25,12.37,3.44,3.16,0.34,0.19,1.52,0.69,1.7,0
Chris Long,Guard,4,74,182,30,29.1917,9.66667,2.38333,4.14167,1.24167,0.0333333,1.88333,1.85833,0
Karachi Edo,Forward,4,78,235,30,20.5833,7.19167,4.65,0.333333,0.283333,1.225,0.641667,2.05833,0
Chris Denson,Guard,4,74,181,25,24.96,11.9,2.75,1.56,0.83,0.1,1.29,1.71,0
Justin Joyner,Guard,4,72,177,21.2,24.8774,3.36792,2.09434,3.15094,1.20755,0.0849057,1.56604,2.03774,0
McHugh Mattis,Forward,1,78,190,28,33.0714,12.7143,7.17857,1.78571,1.32143,3.53571,3.53571,2.78571,0
Cheikh Mbodj,Center,2,82,236,31,16,3.54839,3.53226,0.193548,0.145161,1.75806,0.580645,2.64516,0
Kyle Landry,Forward,2,81,205,24,23.3333,14.6667,7.4375,0.708333,0.8125,0.604167,1.41667,2.75,0
Ryan Rossiter,Forward,4,81,260,31.75,28.1968,11.315,8.88976,1.07087,0.976378,1.27559,1.3937,2.30709,0
Jerel McNeal,Guard,3,75,200,30,32.2222,16.6889,4.72222,3.81111,2.18889,0.511111,3.28889,3.03333,0
Stephen McDowell,Guard,2,71,181,30,34.1167,16.6,2.88333,1.43333,1.13333,0,1.78333,1.51667,0
Darryl Shazier,Guard,4,72,178,29.75,30.8319,7.47899,2.83193,3.90756,1.12605,0.117647,1.70588,1.86555,0
Tevin Hammond,Guard,3,72,185,31,32.9355,9.5914,2.80645,3.92473,2.46237,0.0537634,3.30108,2.87097,0
Eric Maynor,Guard,3,75,175,30.3333,35.1209,18.022,4,6.06593,1.46154,0.197802,2.6044,2.12088,1
Charles Rhodes,Forward,2,80,240,29.5,29.0169,15.5763,7.0678,0.830508,0.508475,1.59322,2.28814,2.49153,0
Greg Gantt,Guard,4,74,205,30.25,31.3967,16.2975,3.45455,1.03306,0.743802,0.0743802,1.39669,1.47934,0
Larry Nance Jr.,Forward,4,81,235,30.5,29.6311,11.3115,6.55738,1.39344,1.15574,1.08197,1.56557,2.32787,1
Denzel Barnes,Guard,2,67,170,23.5,19.8298,6.10638,1.46809,2.85106,1.23404,0.0212766,2.06383,1.93617,0
Ben Lawson,Forward,4,85,235,27.5,15.8818,4.40909,3.06364,0.4,0.363636,1.67273,0.918182,2.22727,0
Jamal Barney,Guard,4,75,190,16,23.5375,12.5625,4.1625,1.15,0.975,0.3,2.5125,2.1875,0
Lorenzo Wade,Forward,3,78,200,27.3333,32.0122,13.0488,4.97561,3.06098,1.36585,0.829268,2.59756,2.12195,0
Chase Plummer,Forward,4,78,235,29.5,22.9661,11.0763,5.61864,1.22034,1.33051,0.279661,2.55085,2.76271,0
Jarrad Henry,Center,2,83,245,17,15.6176,3.73529,2.94118,0.147059,0.529412,2,0.823529,2.73529,0
Garrison Carr,Guard,3,71,155,27.3333,28.6098,13.8293,2.56098,1.34146,0.768293,0.0365854,1.9878,1.62195,0
Ravern Johnson,Guard,4,79,175,31,26,11.6129,2.85484,0.75,0.33871,0.419355,1.16129,1.04032,0
Brett Bisping,Forward,5,80,234,27.4,27.3723,11.1533,7.47445,1.10219,0.759124,0.525547,1.71533,2.87591,0
Emmy Andujar,Forward,4,78,205,32.5,27.1154,10.3692,5.91538,2.82308,1.28462,0.246154,2.83846,2.52308,0
Harrison Hawkins,Guard,2,72,170,23.5,26,12.7021,1.6383,2.06383,0.893617,0.0638298,2.57447,2.70213,0
Kendall Gray,Center,4,82,240,27.5,29.3273,9.27273,7.46364,0.7,0.390909,2.76364,1.65455,2.87273,0
